net,ref,pin,pin_name,note
# MC 1702 (3.098.002 Э3) - machine-readable netlist, built from docs/kb/mc1702-schematic.md
# Net numbers on the drawing are LOCAL to a bus group, so they are prefixed here:
#   LB.n  local CPU bus (S0..QS1 = 1-6, AD00..BHE = 7-27)
#   LA.n  latched address: LA.k = A(k), k = 1..19 (D19 1-8, D20 9-16, D21 17-19); LA.20 = BHE latched, LA.21 = A0 latched (D21)
#   IB.n  interface (ПВК-side) data bus AD00..AD15 = 1..16 behind D6/D7; 17-19 = its control nets (17 = D3.1 out, 18 = D24.2 out = SEL.51, 19 = D41.3 out)
#   MD.n  memory data bus D0..D15 = 22..37 (transceivers, PROM, video RAM, DRAM DO, СОКОО DI)
#   MA.n  multiplexed DRAM address/controls (A0..A8 = 1-9, WE/RAS/CAS = 10/11/12)
#   CK.n  check bits (СОКОО DCO -> check-bank DRAM DI), 18-27
#   SEL.n chip-select / strobe nets (39 MWTC, 40 MRDC, 41, 45, 46, 47)
# A '/N' suffix on the drawing = the number of pins on that net (1/27 = 26 DRAM + D45).
# Confidence: rows without note = read directly and datasheet-checked; note '?' = to confirm
# --- clock / control (D4 synchronizer) ---
CLK,D4,8,CLK,
CLK,D10,19,CLK,via S1 jumper
CLK,D11,19,CLK,
CLK,D18,2,CLK,
READY,D4,5,READY,
READY,D10,22,RDY,via S2 jumper
READY,D11,22,RDY,
RESET,D4,10,RESET,
RESET,D10,21,RES,via S3 jumper
RESET,D11,21,RES,
OSC,D4,12,OSC,-> down and right along y~2129 to the sequencer clock D39.1.3
X1,D4,16,X1,BQ1/R1
X2,D4,17,X2,BQ1/R1/R2
GND,D4,1,CSYNC,0В loop
RDY2,D4,6,RDY2,<- D81.8 (traced on both strips)
AEN2,D4,7,AEN2,long top run to strip 2 = D55.2 out (ready chain); matched across the strip edge by height (dy 12 px)
RDY1,D4,4,RDY1,wire runs down and right along y~2210 into strip 2 ?
AEN1,D4,3,AEN1,top run ending at (2304,364) on strip 1 - not closed ?
RES3,D4,11,RES,wire runs down and right along y~2235 into strip 2 ?
GND,D4,13,F/C,0В loop (crystal mode)
# --- local bus (nets 1-27) ---
LB.1,D10,26,S0,
LB.1,D11,26,S0,
LB.1,D18,19,S0,
LB.2,D10,27,S1,
LB.2,D11,27,S1,
LB.2,D18,3,S1,
LB.3,D10,28,S2,
LB.3,D11,28,S2,
LB.3,D18,18,S2,
LB.4,D10,29,LOCK,
LB.4,D11,29,LOCK,
LB.5,D10,25,QS0,
LB.5,D11,25,QS0,
LB.6,D10,24,QS1,
LB.6,D11,24,QS1,
LB.7,D10,16,AD0,
LB.7,D11,16,AD0,
LB.7,D21,5,DI4,? high latch input per tile
LB.8,D10,15,AD1,
LB.8,D11,15,AD1,
LB.8,D19,1,DI0,
LB.9,D10,14,AD2,
LB.9,D11,14,AD2,
LB.9,D19,2,DI1,
LB.10,D10,13,AD3,
LB.10,D11,13,AD3,
LB.10,D19,3,DI2,
LB.11,D10,12,AD4,
LB.11,D11,12,AD4,
LB.11,D19,4,DI3,
LB.12,D10,11,AD5,
LB.12,D11,11,AD5,
LB.12,D19,5,DI4,
LB.13,D10,10,AD6,
LB.13,D11,10,AD6,
LB.13,D19,6,DI5,
LB.14,D10,9,AD7,
LB.14,D11,9,AD7,
LB.14,D19,7,DI6,
LB.15,D10,8,AD8,
LB.15,D11,8,AD8,
LB.15,D19,8,DI7,
LB.16,D10,7,AD9,
LB.16,D11,7,AD9,
LB.16,D20,1,DI0,
LB.17,D10,6,AD10,
LB.17,D11,6,AD10,
LB.17,D20,2,DI1,
LB.18,D10,5,AD11,
LB.18,D11,5,AD11,
LB.18,D20,3,DI2,
LB.19,D10,4,AD12,
LB.19,D11,4,AD12,
LB.19,D20,4,DI3,
LB.20,D10,3,AD13,
LB.20,D11,3,AD13,
LB.20,D20,5,DI4,
LB.21,D10,2,AD14,
LB.21,D11,2,AD14,
LB.21,D20,6,DI5,
LB.22,D10,39,AD15,
LB.22,D11,39,AD15,
LB.22,D20,7,DI6,
LB.23,D10,38,A16/S3,
LB.23,D11,38,A16/S3,
LB.23,D20,8,DI7,
LB.24,D10,37,A17/S4,
LB.24,D11,37,A17/S4,
LB.24,D21,1,DI0,
LB.25,D10,36,A18/S5,
LB.25,D11,36,A18/S5,
LB.25,D21,2,DI1,
LB.26,D10,35,A19/S6,
LB.26,D11,35,A19/S6,
LB.26,D21,3,DI2,
LB.27,D10,34,BHE/S7,
LB.27,D11,34,BHE/S7,
LB.27,D21,4,DI3,
GND,D10,33,MN/MX,max mode
+5V,D10,1,VDD,
TEST,D10,23,TEST,wire goes down (D11 BUSY expected) ?
TEST,D11,23,BUSY,
RQGT0,D10,31,RQ/GT0,
RQGT0,D11,31,RQ/GT0,
NMI,D10,17,NMI,wire goes down (D3.3 out expected)
INTR,D10,18,INTR,wire goes down ?
# --- bus controller D18 ---
GND,D18,1,IOB,
GND,D18,6,AEN,
CEN,D18,15,CEN,<- R6 pull-up to +5V
SEL.40,D18,7,MRDC,MRDC = net 40 (PROM/video RAM OE)
SEL.39,D18,9,MWTC,MWTC = net 39 (video RAM WE)
NC,D18,8,AMWC,unconnected (tracer: short stub only)
IORC,D18,13,IORC,
IOWC,D18,11,IOWC,
NC,D18,12,AIOWC,unconnected (tracer: short stub only)
INTA,D18,14,INTA,wire runs down to the bus-box border (label not read)
DEN,D18,16,DEN,to D26/D27 enable
DTR,D18,4,DT/R,to D26/D27 direction
NC,D18,17,MCE,unconnected (tracer: short stub only)
ALE,D18,5,ALE,to D19-D21 strobe (gated?)
# --- address latches D19-D21 (КР580ИР82 as drawn: DI 1-8, DO 19-12, OE 9, STB 11); DO -> LA bus ---
LA.1,D19,19,DO0,A1
LA.2,D19,18,DO1,A2
LA.3,D19,17,DO2,A3
LA.4,D19,16,DO3,A4
LA.5,D19,15,DO4,A5
LA.6,D19,14,DO5,A6
LA.7,D19,13,DO6,A7
LA.8,D19,12,DO7,A8
LA.9,D20,19,DO0,A9
LA.10,D20,18,DO1,A10
LA.11,D20,17,DO2,A11
LA.12,D20,16,DO3,A12
LA.13,D20,15,DO4,A13
LA.14,D20,14,DO5,A14
LA.15,D20,13,DO6,A15
LA.16,D20,12,DO7,A16
LA.17,D21,19,DO0,A17
LA.18,D21,18,DO1,A18
LA.19,D21,17,DO2,A19
LA.20,D21,16,DO3,BHE latched (/3)
LA.21,D21,15,DO4,A0 latched (/3)
LA.20,D3,11,IN,D3.5 <- BHE latched
G_D3_10,D3,10,OUT,D3.5 -> ? (D34 CS2 per Block 3)
LA.21,D3,13,IN,D3.6 <- A0 latched
G_D3_12,D3,12,OUT,D3.6 -> ? (D33 CS2 per Block 3)
GND,D19,9,OE,
ALE,D19,11,STB,? gating via D3.2/D25 to confirm
GND,D20,9,OE,
ALE,D20,11,STB,?
GND,D21,9,OE,
ALE,D21,11,STB,?
# --- program EPROM D37/D38 (К573РФ4А, 2764 pinout) and video RAM D33/D34 (6264 pinout) ---
SEL.47,D37,20,CE,decode Q0 (R28)
SEL.40,D37,22,OE,MRDC
+5V,D37,27,PGM,
+5V,D37,1,VPP,
SEL.47,D38,20,CE,
SEL.40,D38,22,OE,
+5V,D38,27,PGM,
+5V,D38,1,VPP/CS2,via R11
SEL.46,D33,20,CS1,decode Q2 (R30)
SEL.40,D33,22,OE,
SEL.39,D33,27,WE,
SEL.46,D34,20,CS1,
SEL.40,D34,22,OE,
SEL.39,D34,27,WE,
BYTESEL,D34,26,CS2,from D3.5/D3.6 (nets 20/21 = A0/BHE)
# --- address decoder D47 (КР556РТ4А) ---
LA.12,D47,5,A0,A12
LA.13,D47,6,A1,A13
LA.14,D47,7,A2,A14
LA.15,D47,4,A3,A15
LA.16,D47,3,A4,A16
LA.17,D47,2,A5,A17
LA.18,D47,1,A6,A18
LA.19,D47,15,A7,A19
SEL.41,D47,13,E1,tied to E2 (junction dot)
SEL.41,D47,14,E2,
D47_Q0,D47,12,Q0,R28 pull-up; -> D81.1 / D55.3.10 (traced at 2x); no bus number
SEL.46,D47,11,Q1,R29 pull-up; -> label 46 + D80.4.11 (traced at 2x)
SEL.45,D47,10,Q2,R30 pull-up; -> label 45 (traced at 2x)
SEL.47,D47,9,Q3,R31 pull-up; -> label 47 (PROM select; traced at 2x)
# --- DRAM array КР565РУ7 (per chip: A0-A8 = 5 7 6 12 11 10 13 9 1; DI 2; DO 14; WE 3; RAS 4; CAS 15) ---
# rows: data low byte, data high byte, check bank A, check bank B
# every chip: A0-A8 <- MA.1..MA.9, WE <- MA.10, RAS <- MA.11, CAS <- MA.12 (row 1 + check A) or MA.13 (row 2 + check B) - added by the generator, not repeated per chip
MD.22,D49,14,DO,D0
MD.23,D51,14,DO,D1
MD.24,D56,14,DO,D2
MD.25,D58,14,DO,D3
MD.26,D62,14,DO,D4
MD.27,D66,14,DO,D5
MD.28,D70,14,DO,D6
MD.29,D74,14,DO,D7
MD.30,D50,14,DO,D8
MD.31,D52,14,DO,D9
MD.32,D57,14,DO,D10
MD.33,D59,14,DO,D11
MD.34,D63,14,DO,D12
MD.35,D67,14,DO,D13
MD.36,D71,14,DO,D14
MD.37,D75,14,DO,D15
CK.18,D60,2,DI,check A0 (D78.DCO0)
CK.19,D64,2,DI,check A1 (D78.DCO1)
CK.20,D68,2,DI,check A2 (D78.DCO2)
CK.21,D72,2,DI,check A3 (D78.DCO3)
CK.22,D76,2,DI,check A4 (D78.DCO4)
CK.23,D61,2,DI,check B0 (D79.DCO0)
CK.24,D65,2,DI,check B1 (D79.DCO1)
CK.25,D69,2,DI,check B2 (D79.DCO2)
CK.26,D73,2,DI,check B3 (D79.DCO3)
CK.27,D77,2,DI,check B4 (D79.DCO4)
# --- СОКОО D78/D79 (К555ВЖ1) ---
MD.22,D78,2,DI0,
MD.23,D78,3,DI1,
MD.24,D78,4,DI2,
MD.25,D78,5,DI3,
MD.26,D78,6,DI4,
MD.27,D78,7,DI5,
MD.28,D78,8,DI6,
MD.29,D78,9,DI7,
GND,D78,10,DI8,
GND,D78,11,DI9,
GND,D78,12,DI10,
GND,D78,13,DI11,
GND,D78,15,DI12,
GND,D78,16,DI13,
GND,D78,17,DI14,
GND,D78,18,DI15,
CK.18,D78,24,DCO0,
CK.19,D78,23,DCO1,
CK.20,D78,22,DCO2,
CK.21,D78,21,DCO3,
CK.22,D78,20,DCO4,
MD.30,D79,2,DI0,
MD.31,D79,3,DI1,
MD.32,D79,4,DI2,
MD.33,D79,5,DI3,
MD.34,D79,6,DI4,
MD.35,D79,7,DI5,
MD.36,D79,8,DI6,
MD.37,D79,9,DI7,
GND,D79,10,DI8,
GND,D79,11,DI9,
GND,D79,12,DI10,
GND,D79,13,DI11,
GND,D79,15,DI12,
GND,D79,16,DI13,
GND,D79,17,DI14,
GND,D79,18,DI15,
CK.23,D79,24,DCO0,
CK.24,D79,23,DCO1,
CK.25,D79,22,DCO2,
CK.26,D79,21,DCO3,
CK.27,D79,20,DCO4,
ERR1,D78,1,ERR,to net 15
ERR2,D78,27,MERR,to net 14
ERR1,D79,1,ERR,
ERR2,D79,27,MERR,
# --- interface: command register D8, decoder D15, vector register D14 ---
D9_Y6,D8,3,C1,wire-traced: <- D9.5 (= МОБМ re-buffered)
D9_Y6,D8,12,C2,joined with pin 3
IB.2,D8,1,D1,AD01 - command code bit 0
IB.3,D8,2,D2,AD02 - command code bit 1
VAD_N,D8,5,D3,wire-traced: <- D9.9 (~ВАД)
NC,D8,6,D4,unconnected
Y_A,D8,14,Q1,to D15.A
Y_B,D8,13,Q2,to D15.B
Y_C,D8,9,Q3,to D15.C
Y_A,D15,1,A,
Y_B,D15,2,B,
Y_C,D15,3,C,
PMV,D15,4,G0,wire-traced: G0+G1 tied <- the XS1.22 (ПМВ) wire (junction dot verified at 3x)
PMV,D15,5,G1,tied with G0
MD_N,D15,6,G2,wire-traced: <- D9.16 (~МD)
Y0,D15,15,Y0,test-ROM select -> D5.20 (traced)
Y1,D15,14,Y1,status word -> D36.9 (traced)
Y2,D15,13,Y2,address to ПВК: D22/D23 EØ expected; wire ends near them, not closed
Y3,D15,12,Y3,-> D24.2.5 (data-in enable, traced)
